graph_name,vertex_count,coloring_method,n_threads,coloring_time,colors_used
kegg_dag_uniq.gra,3617,seq_greedy,2,00.001248,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.002339,3
kegg_dag_uniq.gra,3617,par_jp,2,00.001703,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.001480,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.002079,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.001365,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.002249,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000503,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000278,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000491,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000253,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000428,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000420,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000276,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000381,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000266,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000455,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000371,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000250,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000441,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000306,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000454,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000326,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000263,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000386,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000263,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000430,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000319,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000267,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000365,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000257,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000292,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000259,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000373,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000267,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000426,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000300,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000256,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000355,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000296,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000455,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000287,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000285,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000390,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000296,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000455,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000389,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000260,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000345,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000260,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000431,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000322,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000253,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000377,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000259,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000284,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000235,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000404,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000295,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000453,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000363,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000246,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000400,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000296,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000453,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000324,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000260,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000409,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000290,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000453,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000307,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000234,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000396,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000256,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000427,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000301,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000266,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000385,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000260,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000435,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000298,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000250,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000394,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000262,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000438,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000303,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000351,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000384,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000261,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000434,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000321,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000371,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000408,3
kegg_dag_uniq.gra,3617,seq_greedy,2,00.000263,4
kegg_dag_uniq.gra,3617,seq_ldf,2,00.000435,3
kegg_dag_uniq.gra,3617,par_jp,2,00.000280,4
kegg_dag_uniq.gra,3617,par_ldf,2,00.000239,4
kegg_dag_uniq.gra,3617,par_ldf_plus,2,00.000353,3
citeseer.scc.gra,693947,seq_greedy,2,00.105320,5
citeseer.scc.gra,693947,seq_ldf,2,00.142186,4
citeseer.scc.gra,693947,par_jp,2,00.057409,5
citeseer.scc.gra,693947,par_ldf,2,00.045079,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.083617,4
citeseer.scc.gra,693947,seq_greedy,2,00.106587,5
citeseer.scc.gra,693947,seq_ldf,2,00.147700,4
citeseer.scc.gra,693947,par_jp,2,00.055421,5
citeseer.scc.gra,693947,par_ldf,2,00.043570,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.084830,4
citeseer.scc.gra,693947,seq_greedy,2,00.105823,6
citeseer.scc.gra,693947,seq_ldf,2,00.141831,4
citeseer.scc.gra,693947,par_jp,2,00.053994,5
citeseer.scc.gra,693947,par_ldf,2,00.041428,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.082258,4
citeseer.scc.gra,693947,seq_greedy,2,00.106092,6
citeseer.scc.gra,693947,seq_ldf,2,00.140766,4
citeseer.scc.gra,693947,par_jp,2,00.056291,5
citeseer.scc.gra,693947,par_ldf,2,00.043687,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.080659,4
citeseer.scc.gra,693947,seq_greedy,2,00.106002,5
citeseer.scc.gra,693947,seq_ldf,2,00.141369,4
citeseer.scc.gra,693947,par_jp,2,00.050758,5
citeseer.scc.gra,693947,par_ldf,2,00.042359,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.088773,4
citeseer.scc.gra,693947,seq_greedy,2,00.107790,5
citeseer.scc.gra,693947,seq_ldf,2,00.142992,4
citeseer.scc.gra,693947,par_jp,2,00.051704,5
citeseer.scc.gra,693947,par_ldf,2,00.042872,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.082694,4
citeseer.scc.gra,693947,seq_greedy,2,00.113948,5
citeseer.scc.gra,693947,seq_ldf,2,00.148476,4
citeseer.scc.gra,693947,par_jp,2,00.053347,5
citeseer.scc.gra,693947,par_ldf,2,00.043119,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.081038,4
citeseer.scc.gra,693947,seq_greedy,2,00.106781,5
citeseer.scc.gra,693947,seq_ldf,2,00.141063,4
citeseer.scc.gra,693947,par_jp,2,00.060798,5
citeseer.scc.gra,693947,par_ldf,2,00.045180,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.091530,4
citeseer.scc.gra,693947,seq_greedy,2,00.123549,5
citeseer.scc.gra,693947,seq_ldf,2,00.162955,4
citeseer.scc.gra,693947,par_jp,2,00.064092,5
citeseer.scc.gra,693947,par_ldf,2,00.043701,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.086491,4
citeseer.scc.gra,693947,seq_greedy,2,00.108453,5
citeseer.scc.gra,693947,seq_ldf,2,00.146298,4
citeseer.scc.gra,693947,par_jp,2,00.057522,5
citeseer.scc.gra,693947,par_ldf,2,00.044732,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.086329,4
citeseer.scc.gra,693947,seq_greedy,2,00.107970,5
citeseer.scc.gra,693947,seq_ldf,2,00.144624,4
citeseer.scc.gra,693947,par_jp,2,00.061096,5
citeseer.scc.gra,693947,par_ldf,2,00.045990,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.085693,4
citeseer.scc.gra,693947,seq_greedy,2,00.109619,5
citeseer.scc.gra,693947,seq_ldf,2,00.146267,4
citeseer.scc.gra,693947,par_jp,2,00.056609,5
citeseer.scc.gra,693947,par_ldf,2,00.042788,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.082033,4
citeseer.scc.gra,693947,seq_greedy,2,00.106961,5
citeseer.scc.gra,693947,seq_ldf,2,00.143295,4
citeseer.scc.gra,693947,par_jp,2,00.055389,5
citeseer.scc.gra,693947,par_ldf,2,00.042763,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.082171,4
citeseer.scc.gra,693947,seq_greedy,2,00.111307,5
citeseer.scc.gra,693947,seq_ldf,2,00.140678,4
citeseer.scc.gra,693947,par_jp,2,00.057186,5
citeseer.scc.gra,693947,par_ldf,2,00.052542,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.083491,4
citeseer.scc.gra,693947,seq_greedy,2,00.111019,5
citeseer.scc.gra,693947,seq_ldf,2,00.141817,4
citeseer.scc.gra,693947,par_jp,2,00.058365,5
citeseer.scc.gra,693947,par_ldf,2,00.042768,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.083195,4
citeseer.scc.gra,693947,seq_greedy,2,00.118273,5
citeseer.scc.gra,693947,seq_ldf,2,00.150627,4
citeseer.scc.gra,693947,par_jp,2,00.054648,5
citeseer.scc.gra,693947,par_ldf,2,00.042941,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.089514,4
citeseer.scc.gra,693947,seq_greedy,2,00.116782,5
citeseer.scc.gra,693947,seq_ldf,2,00.159649,4
citeseer.scc.gra,693947,par_jp,2,00.054241,5
citeseer.scc.gra,693947,par_ldf,2,00.043111,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.083063,4
citeseer.scc.gra,693947,seq_greedy,2,00.109376,5
citeseer.scc.gra,693947,seq_ldf,2,00.142574,4
citeseer.scc.gra,693947,par_jp,2,00.054554,5
citeseer.scc.gra,693947,par_ldf,2,00.042913,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.082715,4
citeseer.scc.gra,693947,seq_greedy,2,00.110752,5
citeseer.scc.gra,693947,seq_ldf,2,00.143160,4
citeseer.scc.gra,693947,par_jp,2,00.054140,5
citeseer.scc.gra,693947,par_ldf,2,00.042687,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.081620,4
citeseer.scc.gra,693947,seq_greedy,2,00.109081,5
citeseer.scc.gra,693947,seq_ldf,2,00.143127,4
citeseer.scc.gra,693947,par_jp,2,00.055705,5
citeseer.scc.gra,693947,par_ldf,2,00.043897,4
citeseer.scc.gra,693947,par_ldf_plus,2,00.085487,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000646,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.001012,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000601,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000415,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000722,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000515,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000834,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000621,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000470,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000689,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000524,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000847,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000565,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000463,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000589,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000606,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.001005,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000592,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000411,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000728,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000608,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000999,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000583,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000412,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000718,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000603,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000907,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000632,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000437,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000662,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000514,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000840,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000622,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000436,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000608,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000522,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000841,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000552,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000391,4
xmark_dag_uniq.gra,6080,par_ldf_plus,2,00.000656,4
xmark_dag_uniq.gra,6080,seq_greedy,2,00.000519,5
xmark_dag_uniq.gra,6080,seq_ldf,2,00.000840,4
xmark_dag_uniq.gra,6080,par_jp,2,00.000581,5
xmark_dag_uniq.gra,6080,par_ldf,2,00.000542,4
